taxid	species	genus	family	order	class	origin_probe_sequences	tiling_probe_sequences	kmer_filter_removed	eprobe_filter_removed	filtered_probe_retained
9209	Carassius auratus	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	3789	0	42	1236	2511
1221224	Cyprinus rubrofuscus	Cyprinus	Cyprinidae	Cypriniformes	Actinopterygii	3308	3308	0	0	3308
8022	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	3320	3320	0	0	3320
8030	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopterygii	3323	0	618	930	1775
8839	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	3312	3312	0	0	3312
8843	Anser anser	Anser	Anatidae	Anseriformes	Aves	3339	0	323	839	2177
8845	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	3339	0	259	869	2211
8855	Cairina moschata	Cairina	Anatidae	Anseriformes	Aves	3312	0	158	818	2336
8932	Columba livia	Columba	Columbidae	Columbiformes	Aves	3437	3437	0	0	3437
9103	Meleagris gallopavo	Meleagris	Meleagrididae	Galliformes	Aves	3335	3335	0	0	3335
8996	Numida meleagris	Numida	Numididae	Galliformes	Aves	3347	3347	0	0	3347
93934	Coturnix japonica	Coturnix	Phasianidae	Galliformes	Aves	3331	0	212	1118	2001
9031	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	3348	3348	0	0	3348
299123	Lonchura striata	Lonchura	Estrildidae	Passeriformes	Aves	3354	3354	0	0	3354
9135	Serinus canaria	Serinus	Fringillidae	Passeriformes	Aves	3351	3351	0	0	3351
7460	Apis mellifera	Apis	Apidae	Hymenoptera	Insecta	3305	3305	0	0	3305
7091	Bombyx mori	Bombyx	Bombycidae	Lepidoptera	Insecta	3120	3120	0	0	3120
9371	Echinops telfairi	Echinops	Tenrecidae	Afrosoricida	Mammalia	3301	3301	0	0	3301
185453	Chrysochloris asiatica	Chrysochloris	Chrysochloridae	Afrotheria	Mammalia	3322	3322	0	0	3322
481707	Eremitalpa granti	Eremitalpa	Chrysochloridae	Afrotheria	Mammalia	3312	0	114	2342	856
9891	Antilocapra americana	Antilocapra	Antilocapridae	Artiodactyla	Mammalia	3262	3262	0	0	3262
27602	Balaena mysticetus	Balaena	Balaenidae	Artiodactyla	Mammalia	3268	3268	0	0	3268
160595	Eubalaena australis	Eubalaena	Balaenidae	Artiodactyla	Mammalia	3267	0	904	1148	1215
302098	Eubalaena japonica	Eubalaena	Balaenidae	Artiodactyla	Mammalia	3268	0	862	1188	1218
9767	Balaenoptera acutorostrata	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3275	3275	0	0	3275
33556	Balaenoptera bonaerensis	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3275	0	266	1598	1411
9768	Balaenoptera borealis	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3272	0	1097	1120	1055
255365	Balaenoptera brydei	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3273	0	388	1566	1319
9769	Balaenoptera edeni	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3273	0	384	1515	1374
9771	Balaenoptera musculus	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3272	0	621	1350	1301
255217	Balaenoptera omurai	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3272	0	275	1576	1421
9770	Balaenoptera physalus	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	3271	0	613	1380	1278
9773	Megaptera novaeangliae	Megaptera	Balaenopteridae	Artiodactyla	Mammalia	3271	0	477	1434	1360
9899	Ammotragus lervia	Ammotragus	Bovidae	Artiodactyla	Mammalia	3296	3296	0	0	3296
59525	Antilope cervicapra	Antilope	Bovidae	Artiodactyla	Mammalia	3277	0	223	1777	1277
9901	Bison bison	Bison	Bovidae	Artiodactyla	Mammalia	3255	0	522	1668	1065
9902	Bison bonasus	Bison	Bovidae	Artiodactyla	Mammalia	3256	0	757	1476	1023
268291	Bison priscus	Bison	Bovidae	Artiodactyla	Mammalia	3255	0	994	1353	908
1922215	Bootherium bombifrons	Bootherium	Bovidae	Artiodactyla	Mammalia	3276	0	1725	982	569
30521	Bos grunniens	Bos	Bovidae	Artiodactyla	Mammalia	3256	0	541	1668	1047
9915	Bos indicus	Bos	Bovidae	Artiodactyla	Mammalia	3259	0	474	1650	1135
9909	Bos primigenius	Bos	Bovidae	Artiodactyla	Mammalia	3259	0	704	1450	1105
9913	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	3259	0	482	1604	1173
3119969	Bubalus kerabau	Bubalus	Bovidae	Artiodactyla	Mammalia	3263	0	222	1619	1422
9925	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	3320	0	1337	1236	747
9966	Capricornis crispus	Capricornis	Bovidae	Artiodactyla	Mammalia	3282	0	241	1776	1265
34866	Capricornis swinhoei	Capricornis	Bovidae	Artiodactyla	Mammalia	3296	0	210	1759	1327
34873	Oreamnos americanus	Oreamnos	Bovidae	Artiodactyla	Mammalia	3312	0	260	1949	1103
37176	Ovibos moschatus	Ovibos	Bovidae	Artiodactyla	Mammalia	3277	0	342	1689	1246
9940	Ovis aries	Ovis	Bovidae	Artiodactyla	Mammalia	3314	0	1592	1048	674
37174	Ovis canadensis	Ovis	Bovidae	Artiodactyla	Mammalia	3284	0	282	1860	1142
59538	Pantholops hodgsonii	Pantholops	Bovidae	Artiodactyla	Mammalia	3291	0	270	1787	1234
34875	Saiga tatarica	Saiga	Bovidae	Artiodactyla	Mammalia	3265	0	223	1945	1097
