accession	taxid	species	genus	family	order	class	is_representative	used_for_probe_tiling
KR215630.1	9209	Carassius auratus	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	FALSE	FALSE
LC715365.1	9209	Carassius auratus	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	FALSE	FALSE
NC_027267.1	9209	Carassius auratus	Carassius	Cyprinidae	Cypriniformes	Actinopterygii	TRUE	FALSE
MW969691.1	1221224	Cyprinus rubrofuscus	Cyprinus	Cyprinidae	Cypriniformes	Actinopterygii	TRUE	TRUE
NC_001717.1	8022	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	TRUE	TRUE
OP588112.1	8022	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
OP588113.1	8022	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
OP588114.1	8022	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
OP588115.1	8022	Oncorhynchus mykiss	Oncorhynchus	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
NC_001960.1	8030	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopterygii	TRUE	FALSE
PQ284200.1	8030	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
PQ284201.1	8030	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
PQ284207.1	8030	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
PQ284208.1	8030	Salmo salar	Salmo	Salmonidae	Salmoniformes	Actinopterygii	FALSE	FALSE
NC_009684.1	8839	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	TRUE	TRUE
OR242806.1	8839	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	FALSE	FALSE
OR242807.1	8839	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	FALSE	FALSE
PP546505.1	8839	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	FALSE	FALSE
PP929788.1	8839	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	FALSE	FALSE
EU932689.1	8843	Anser anser	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
MK133021.1	8843	Anser anser	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
MN122908.1	8843	Anser anser	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
NC_011196.1	8843	Anser anser	Anser	Anatidae	Anseriformes	Aves	TRUE	FALSE
OQ134125.1	8843	Anser anser	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
MZ427898.1	8845	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
MZ955453.1	8845	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
MZ962672.1	8845	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
NC_023832.1	8845	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	TRUE	FALSE
PQ154620.1	8845	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	FALSE	FALSE
EU755254.1	8855	Cairina moschata	Cairina	Anatidae	Anseriformes	Aves	FALSE	FALSE
MN356432.1	8855	Cairina moschata	Cairina	Anatidae	Anseriformes	Aves	FALSE	FALSE
NC_010965.1	8855	Cairina moschata	Cairina	Anatidae	Anseriformes	Aves	TRUE	FALSE
GQ240309.1	8932	Columba livia	Columba	Columbidae	Columbiformes	Aves	FALSE	FALSE
